Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
SONC,Sonic Corp.,23.46,1268624274,n/a,1991,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sonc
SONS,"Sonus Networks, Inc.",3.13,780962068.2,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sons
SORL,"SORL Auto Parts, Inc.",3.48,67181125.08,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sorl
SOXX,iShares Goldman Sachs Semiconductor Index Fund,77.6,453960000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/soxx
SP,SP Plus Corporation,20.4,448732231.2,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/sp
SPAN,"Span-America Medical Systems, Inc.",18.45,54649029.15,n/a,1983,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/span
SPAR,"Spartan Motors, Inc.",4.94,169315135.9,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/spar
SPBC,"SP Bancorp, Inc.",29.1001,46627468.53,n/a,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/spbc
SPCB,"SuperCom, Ltd.",10.44,143018134.2,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spcb
SPDC,"Speed Commerce, Inc.",2.51,164884086.2,n/a,n/a,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/spdc
SPEX,Spherix Incorporated,1.1,31459413.7,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/spex
SPHS,"Sophiris Bio, Inc.",2.9,48849734.4,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/sphs
SPIL,"Siliconware Precision Industries Company, Ltd.",6.49,4061442000,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spil
SPKE,"Spark Energy, Inc.",16.52,227150000,n/a,2014,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/spke
SPLK,Splunk Inc.,54.74,6564240924,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk
SPLS,"Staples, Inc.",11.99,7723971741,n/a,1989,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spls
SPNC,The Spectranetics Corporation,26.22,1096995638,n/a,1992,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/spnc
SPNS,Sapiens International Corporation N.V.,7.24,344954650.8,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spns
SPOK,"Spok Holdings, Inc.",13.95,302376503.3,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/spok
SPPI,"Spectrum Pharmaceuticals, Inc.",7.55,496276267.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sppi
SPPR,"Supertel Hospitality, Inc.",1.98,9286154.46,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sppr
SPPRO,"Supertel Hospitality, Inc.",19.38,6443850,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sppro
SPPRP,"Supertel Hospitality, Inc.",6.77,5438137.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/spprp
SPRO,SmartPros Ltd.,1.932,9050340.012,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/spro
SPRT,"support.com, Inc.",1.92,103568461.4,n/a,2000,Technology,EDP Services,http://www.nasdaq.com/symbol/sprt
SPSC,"SPS Commerce, Inc.",56.18,912068704.4,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spsc
SPTN,SpartanNash Company,20.51,773750435.7,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/sptn
SPU,"SkyPeople Fruit Juice, Inc.",0.97,25861654.03,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/spu
SPWH,"Sportsman&#39;s Warehouse Holdings, Inc.",7.42,310291303.7,n/a,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spwh
SPWR,SunPower Corporation,28.91,3791032827,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/spwr
SQBG,"Sequential Brands Group, Inc.",12,457924368,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/sqbg
SQBK,"Square 1 Financial, Inc.",18.17,521058945.9,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/sqbk
SQI,"SciQuest, Inc.",15.08,414782336.8,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sqi
SQNM,"Sequenom, Inc.",3.31,386183691.1,n/a,2000,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sqnm
SQQQ,ProShares UltraPro Short QQQ ,44.19,397710000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqqq
